movieid;title;rate;url;is_new;playable;cover
3199500;樱桃小丸子：我喜欢的歌;8.7;https://movie.douban.com/subject/3199500/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2387165150.jpg
1401368;潘多拉的魔盒;8.2;https://movie.douban.com/subject/1401368/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2211485042.jpg
1293893;化身博士;8.1;https://movie.douban.com/subject/1293893/;False;True;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2160014935.jpg
1438081;爱无国界;8.2;https://movie.douban.com/subject/1438081/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2364845275.jpg
1293608;天堂可以等待;8.1;https://movie.douban.com/subject/1293608/;False;True;https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2228910569.jpg
1440040;解放;8.6;https://movie.douban.com/subject/1440040/;False;True;https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2184830677.jpg
3769466;永远活下去;8.3;https://movie.douban.com/subject/3769466/;False;False;https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p1972741017.jpg
1419169;奥菲斯的遗嘱;8.3;https://movie.douban.com/subject/1419169/;False;True;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2205371620.jpg
4038441;给雅各布神父的信;8.4;https://movie.douban.com/subject/4038441/;False;False;https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p1720656337.jpg
1294236;孩子在看着我们;8.3;https://movie.douban.com/subject/1294236/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2211488636.jpg
1293529;雌雄莫辨;8.4;https://movie.douban.com/subject/1293529/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2165059900.jpg
5299155;马达加斯加的企鹅：僵尸企鹅就是我;8.1;https://movie.douban.com/subject/5299155/;False;False;https://img1.doubanio.com/lpic/s24513707.jpg
1473840;人斩;8.1;https://movie.douban.com/subject/1473840/;False;False;https://img3.doubanio.com/lpic/s3756022.jpg
10755367;寂静人生;8.3;https://movie.douban.com/subject/10755367/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2198081634.jpg
1937998;阿弥陀堂讯息;8.6;https://movie.douban.com/subject/1937998/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2393018482.jpg
